Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
IBKH03020,NGC6121,16 23 35.500,-26 31 31.00,9,2011-07-09 12:07:37,2011-07-09 12:55:35,150.000,WFC3  ,UVIS-CENTER,F547M,5447.000,12193,2012-07-09 17:43:37,IBKH03020,,,0.027
IBKH03030,NGC6121,16 23 35.500,-26 31 31.00,9,2011-07-09 12:11:22,2011-07-09 12:51:43,700.000,WFC3  ,UVIS-CENTER,F467M,4682.600,12193,2012-07-09 17:43:43,IBKH03030,,,0.027
IBKH03040,NGC6121,16 23 35.500,-26 31 31.00,9,2011-07-09 12:19:40,2011-07-09 12:43:19,1292.000,WFC3  ,UVIS-CENTER,F395N,3955.200,12193,2012-07-10 13:28:33,IBKH03040,,,0.027
ICAU0E020,NGC-6121,16 23 35.746,-26 31 32.98,55,2014-07-05 22:33:36,2014-07-06 00:18:43,1616.000,WFC3  ,UVIS-CENTER,F275W,2707.200,13297,2014-07-06 13:47:50,ICAU0E020,,1,0.080
ICAU0E010,NGC-6121,16 23 35.904,-26 31 33.06,55,2014-07-05 22:25:59,2014-07-05 23:38:54,600.000,WFC3  ,UVIS-CENTER,F336W,3354.850,13297,2014-07-06 13:47:31,ICAU0E010,,1,0.115
IC0577010,M-4,16 23 35.969,-26 31 29.58,6,2013-07-05 15:16:37,2013-07-05 15:58:13,1960.000,WFC3  ,UVIS-CENTER,F467M,4682.600,12911,2013-07-05 22:38:23,IC0577010,,,0.133
IC0577AWQ,M-4,16 23 35.969,-26 31 29.58,6,2013-07-05 15:13:41,2013-07-05 15:14:01,20.000,WFC3  ,UVIS-CENTER,F775W,7651.200,12911,2013-07-05 17:38:48,IC0577AWQ,,,0.133
IC0587010,M-4,16 23 35.991,-26 31 30.83,6,2013-07-30 06:58:10,2013-07-30 07:39:46,1960.000,WFC3  ,UVIS-CENTER,F467M,4682.600,12911,2013-07-30 13:56:30,IC0587010,,,0.133
IC0587HZQ,M-4,16 23 35.991,-26 31 30.83,6,2013-07-30 06:55:14,2013-07-30 06:55:34,20.000,WFC3  ,UVIS-CENTER,F775W,7651.200,12911,2013-07-30 12:48:09,IC0587HZQ,,,0.133
