Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
U2DS0101T,NGC6752,19 10 48.852,-59 59 16.74,6,1994-08-17 20:10:16,1994-08-17 20:11:26,70.000,WFPC2 ,PC1-FIX,F439W,4311.000,5344,1995-08-18 14:51:23,U2DS0101T,,,0.456
U2DS0102T,NGC6752,19 10 48.852,-59 59 16.74,6,1994-08-17 20:13:16,1994-08-17 20:24:56,700.000,WFPC2 ,PC1-FIX,F439W,4311.000,5344,1995-08-18 14:56:35,U2DS0102T,,,0.456
U2DS0103T,NGC6752,19 10 48.852,-59 59 16.74,6,1994-08-17 20:28:16,1994-08-17 20:28:34,18.000,WFPC2 ,PC1-FIX,F675W,6717.000,5344,1995-08-18 15:01:43,U2DS0103T,,,0.456
U2DS0104T,NGC6752,19 10 48.852,-59 59 16.74,6,1994-08-17 20:30:16,1994-08-17 20:33:16,180.000,WFPC2 ,PC1-FIX,F675W,6717.000,5344,1995-08-18 15:06:40,U2DS0104T,,,0.456
U2DS0105T,NGC6752,19 10 48.852,-59 59 16.74,6,1994-08-17 20:36:16,1994-08-17 20:39:16,180.000,WFPC2 ,PC1-FIX,F675W,6717.000,5344,1995-08-18 15:11:41,U2DS0105T,,,0.456
U2DS0106T,NGC6752,19 10 48.852,-59 59 16.74,6,1994-08-17 20:43:16,1994-08-17 20:45:16,120.000,WFPC2 ,PC1-FIX,F656N,6564.000,5344,1995-08-18 15:16:47,U2DS0106T,,,0.456
U2DS0107T,NGC6752,19 10 48.852,-59 59 16.74,6,1994-08-17 20:47:16,1994-08-17 21:07:16,1200.000,WFPC2 ,PC1-FIX,F656N,6564.000,5344,1995-08-18 15:21:51,U2DS0107T,,,0.456
U2DS0108T,NGC6752,19 10 48.852,-59 59 16.74,6,1994-08-17 21:13:16,1994-08-17 21:33:16,1200.000,WFPC2 ,PC1-FIX,F656N,6564.000,5344,1995-08-18 15:27:03,U2DS0108T,,,0.456
U2DS0109T,NGC6752,19 10 48.852,-59 59 16.74,6,1994-08-17 21:36:16,1994-08-17 21:56:16,1200.000,WFPC2 ,PC1-FIX,F656N,6564.000,5344,1995-08-18 15:32:13,U2DS0109T,,,0.456
U2DS010AT,NGC6752,19 10 48.852,-59 59 16.74,6,1994-08-17 22:00:16,1994-08-17 22:11:56,700.000,WFPC2 ,PC1-FIX,F439W,4311.000,5344,1995-08-18 15:37:39,U2DS010AT,,,0.456
U2DS010BT,NGC6752,19 10 48.852,-59 59 16.74,6,1994-08-17 22:17:16,1994-08-17 22:37:16,1200.000,WFPC2 ,PC1-FIX,F656N,6564.000,5344,1995-08-18 15:43:05,U2DS010BT,,,0.456
U2DS010CT,NGC6752,19 10 48.852,-59 59 16.74,6,1994-08-17 22:40:16,1994-08-17 23:00:16,1200.000,WFPC2 ,PC1-FIX,F656N,6564.000,5344,1995-08-18 15:48:16,U2DS010CT,,,0.456
U2HO0101T,NGC6752-POS1,19 10 48.832,-59 59 16.59,9,1994-08-18 06:29:16,1994-08-18 06:29:18,2.000,WFPC2 ,PC1-FIX,F555W,5439.000,5318,1995-08-18 16:52:42,U2HO0101T,,,0.457
U2HO0102T,NGC6752-POS1,19 10 48.832,-59 59 16.59,9,1994-08-18 06:32:16,1994-08-18 06:32:19,3.000,WFPC2 ,PC1-FIX,F814W,8012.000,5318,1995-08-18 16:54:23,U2HO0102T,,,0.457
U2HO0103T,NGC6752-POS1,19 10 48.832,-59 59 16.59,9,1994-08-18 06:35:16,1994-08-18 06:35:42,26.000,WFPC2 ,PC1-FIX,F555W,5439.000,5318,1995-08-18 16:55:55,U2HO0103T,,,0.457
